code,name,pinyin,pinyin_full,market
00255,龙记集团,ljjt,longjijituan,港股
00256,冠城钟表珠宝,gczbzb,guanchengzhongbiaozhubao,港股
00257,光大环境,gdhj,guangdahuanjing,港股
00258,汤臣集团,tcjt,tangchenjituan,港股
00259,亿都（国际控股）,yd（gjkg）,yidou（guojikonggu）,港股
00261,ＧＢＡ集团,ｇｂａjt,ｇｂａjituan,港股
00262,迪臣发展国际,dcfzgj,dichenfazhanguoji,港股
00264,中联发展控股,zlfzkg,zhonglianfazhankonggu,港股
00265,港誉智慧城市服务,gyzhcsfw,gangyuzhihuichengshifuwu,港股
00266,天德地产,tddc,tiandedichan,港股
00267,中信股份,zxgf,zhongxingufen,港股
00268,金蝶国际,jdgj,jindieguoji,港股
00269,中国资源交通,zgzyjt,zhongguoziyuanjiaotong,港股
00270,粤海投资,yhtz,yuehaitouzi,港股
00271,亚证地产,yzdc,yazhengdichan,港股
00272,瑞安房地产,rafdc,ruianfangdichan,港股
00274,复兴亚洲,fxyz,fuxingyazhou,港股
00276,蒙古能源,mgny,menggunengyuan,港股
00277,太兴置业,txzy,taixingzhiye,港股
00279,裕承科金,yckj,yuchengkejin,港股
00280,景福集团,jfjt,jingfujituan,港股
00285,比亚迪电子,byddz,biyadidianzi,港股
00286,爱帝宫,adg,aidigong,港股
00287,永发置业,yfzy,yongfazhiye,港股
00288,万洲国际,wzgj,wanzhouguoji,港股
00289,WING ON CO,wing on co,wing on co,港股
00290,国富量子,gflz,guofuliangzi,港股
00291,华润啤酒,hrpj,huarunpijiu,港股
00293,国泰航空,gthk,guotaihangkong,港股
00294,长江制衣,cjzy,changjiangzhiyi,港股
00295,江山控股,jskg,jiangshankonggu,港股
00296,英皇娱乐酒店,yhyljd,yinghuangyulejiudian,港股
00297,中化化肥,zhhf,zhonghuahuafei,港股
00298,庄士中国,zszg,zhuangshizhongguo,港股
00299,宝新置地,bxzd,baoxinzhidi,港股
00300,美的集团,mdjt,meidejituan,港股
00301,三和精化,shjh,sanhejinghua,港股
00302,中手游,zsy,zhongshouyou,港股
00303,VTECH HOLDINGS,vtech holdings,vtech holdings,港股
00305,五菱汽车,wlqc,wulingqiche,港股
00306,冠忠巴士集团,gzbsjt,guanzhongbashijituan,港股
00308,香港中旅,xgzl,xianggangzhonglv,港股
00309,新华通讯频媒,xhtxpm,xinhuatongxunpinmei,港股
00310,嘉进投资国际,jjtzgj,jiajintouziguoji,港股
00311,联泰控股,ltkg,liantaikonggu,港股
00312,岁宝百货,sbbh,suibaobaihuo,港股
00313,裕田中国,ytzg,yutianzhongguo,港股
00314,思派健康,spjk,sipaijiankang,港股
00315,数码通电讯,smtdx,shumatongdianxun,港股
00316,东方海外国际,dfhwgj,dongfanghaiwaiguoji,港股
00317,中船防务,zcfw,zhongchuanfangwu,港股
00318,黄河实业,hhsy,huangheshiye,港股
00320,金宝通,jbt,jinbaotong,港股
00321,德永佳集团,dyjjt,deyongjiajituan,港股
00322,康师傅控股,ksfkg,kangshifukonggu,港股
00323,马鞍山钢铁股份,masgtgf,maanshangangtiegufen,港股
00325,布鲁可,blk,buluke,港股
00326,中国星集团－二千,zgxjt－eq,zhongguoxingjituan－erqian,港股
00327,百富环球,bfhq,baifuhuanqiu,港股
00328,ALCO HOLDINGS,alco holdings,alco holdings,港股
00329,东建国际,djgj,dongjianguoji,港股
00331,丰盛生活服务,fsshfw,fengshengshenghuofuwu,港股
00332,元亨燃气,yhrq,yuanhengranqi,港股
00333,黛丽斯国际,dlsgj,dailisiguoji,港股
00334,华显光电,hxgd,huaxianguangdian,港股
00335,美建集团,mjjt,meijianjituan,港股
00336,华宝国际,hbgj,huabaoguoji,港股
00337,绿地香港,ldxg,lvdixianggang,港股
00338,上海石油化工股份,shsyhggf,shanghaishiyouhuagonggufen,港股
00339,全球数字控股,qqszkg,quanqiushuzikonggu,港股
00340,潼关黄金,tghj,tongguanhuangjin,港股
00341,大家乐集团,djljt,dajialejituan,港股
00343,文化传信,whcx,wenhuachuanxin,港股
00345,VITASOY INT'L,vitasoy int'l,vitasoy int'l,港股
00346,延长石油国际,ycsygj,yanchangshiyouguoji,港股
00347,鞍钢股份,aggf,anganggufen,港股
00348,中国智能健康,zgznjk,zhongguozhinengjiankang,港股
00351,亚洲能源物流,yznywl,yazhounengyuanwuliu,港股
00352,富阳,fy,fuyang,港股
00353,能源国际投资,nygjtz,nengyuanguojitouzi,港股
00354,中国软件国际,zgrjgj,zhongguoruanjianguoji,港股
00355,世纪城市国际,sjcsgj,shijichengshiguoji,港股
00356,鼎立资本,dlzb,dingliziben,港股
00357,美兰空港,mlkg,meilankonggang,港股
00358,江西铜业股份,jxtygf,jiangxitongyegufen,港股
00360,新焦点,xjd,xinjiaodian,港股
00361,汉成发展控股,hcfzkg,hanchengfazhankonggu,港股
00362,中国天化工,zgthg,zhongguotianhuagong,港股
00363,上海实业控股,shsykg,shanghaishiyekonggu,港股
00365,芯成科技,xckj,xinchengkeji,港股
00366,陆氏集团（越南）,lsjt（yn）,lushijituan（yuenan）,港股
00367,庄士机构国际,zsjggj,zhuangshijigouguoji,港股
00368,德合集团,dhjt,dehejituan,港股
00369,永泰地产,ytdc,yongtaidichan,港股
00370,港仔机器人,gzjqr,gangzaijiqiren,港股
00371,北控水务集团,bkswjt,beikongshuiwujituan,港股
00372,保德国际发展,bdgjfz,baodeguojifazhan,港股
00373,联合集团,lhjt,lianhejituan,港股
00374,四洲集团,szjt,sizhoujituan,港股
00375,YGM TRADING,ygm trading,ygm trading,港股
00376,云锋金融,yfjr,yunfengjinrong,港股
00377,中国华君,zghj,zhongguohuajun,港股
00379,恒嘉融资租赁,hjrzzl,hengjiarongzizulin,港股
00380,中国管业,zggy,zhongguoguanye,港股
00381,权识国际,qsgj,quanshiguoji,港股
00382,中汇集团,zhjt,zhonghuijituan,港股
00383,天安卓健,tazj,tiananzhuojian,港股
00384,中国燃气,zgrq,zhongguoranqi,港股
00385,建联集团,jljt,jianlianjituan,港股
00386,中国石油化工股份,zgsyhggf,zhongguoshiyouhuagonggufen,港股
00387,力丰（集团）,lf（jt）,lifeng（jituan）,港股
00388,香港交易所,xgjys,xianggangjiaoyisuo,港股
00389,通天酒业,ttjy,tongtianjiuye,港股
00390,中国中铁,zgzt,zhongguozhongtie,港股
00391,美亚娱乐资讯,myylzx,meiyayulezixun,港股
00392,北京控股,bjkg,beijingkonggu,港股
00393,旭日企业,xrqy,xuriqiye,港股
00396,兴利（香港）控股,xl（xg）kg,xingli（xianggang）konggu,港股
00397,嬴集团,yjt,yingjituan,港股
00398,东方表行集团,dfbxjt,dongfangbiaoxingjituan,港股
00399,星太链集团,xtljt,xingtailianjituan,港股
00400,硬蛋创新,ydcx,yingdanchuangxin,港股
00401,万嘉集团,wjjt,wanjiajituan,港股
00403,星光集团,xgjt,xingguangjituan,港股
00406,有利集团,yljt,youlijituan,港股
00408,叶氏化工集团,yshgjt,yeshihuagongjituan,港股
00410,ＳＯＨＯ中国,ｓｏｈｏzg,ｓｏｈｏzhongguo,港股
00411,南顺（香港）,ns（xg）,nanshun（xianggang）,港股
00412,山高控股,sgkg,shangaokonggu,港股
00413,南华集团控股,nhjtkg,nanhuajituankonggu,港股
00417,谢瑞麟,xrl,xieruilin,港股
00418,方正控股,fzkg,fangzhengkonggu,港股
00419,弘毅文化集团,hywhjt,hongyiwenhuajituan,港股
00420,福田实业,ftsy,futianshiye,港股
00422,越南制造加工出口,ynzzjgck,yuenanzhizaojiagongchukou,港股
00423,经济日报集团,jjrbjt,jingjiribaojituan,港股
00425,敏实集团,msjt,minshijituan,港股
00426,万华媒体,whmt,wanhuameiti,港股
00428,中国天弓控股,zgtgkg,zhongguotiangongkonggu,港股
00430,东方兴业控股,dfxykg,dongfangxingyekonggu,港股
00431,大中华金融,dzhjr,dazhonghuajinrong,港股
00432,盈大地产,yddc,yingdadichan,港股
00433,北方矿业,bfky,beifangkuangye,港股
00434,博雅互动,byhd,boyahudong,港股
00436,新宇环保,xyhb,xinyuhuanbao,港股
00438,彩虹新能源,chxny,caihongxinnengyuan,港股
00439,瀚源控股,hykg,hanyuankonggu,港股
00440,大新金融,dxjr,daxinjinrong,港股
00442,域能控股,ynkg,yunengkonggu,港股
00444,SINCEREWATCH HK,sincerewatch hk,sincerewatch hk,港股
00450,鸿兴印刷集团,hxysjt,hongxingyinshuajituan,港股
00451,协鑫新能源,xxxny,xiexinxinnengyuan,港股
00455,天大药业,tdyy,tiandayaoye,港股
00456,新城市建设发展,xcsjsfz,xinchengshijianshefazhan,港股
00458,联亚集团,lyjt,lianyajituan,港股
00460,四环医药,shyy,sihuanyiyao,港股
00464,中国智能科技,zgznkj,zhongguozhinengkeji,港股
00465,富通科技,ftkj,futongkeji,港股
